lineup_id,player,pos,team,projected,actual,delta
L01,Josh Allen,QB,BUF,,,
L01,D'Andre Swift,RB,CHI,,,
L01,Derrick Henry,RB,BAL,,,
L01,Khalil Shakir,WR,BUF,,,
L01,Luther Burden III,WR,CHI,,,
L01,Xavier Hutchinson,WR,HOU,,,
L01,Dalton Kincaid,TE,BUF,,,
L01,James Cook,RB,BUF,,,
L01,Jacksonville Jaguars,DEF,JAC,,,
L02,Daniel Jones,QB,IND,,,
L02,Derrick Henry,RB,BAL,,,
L02,Jahmyr Gibbs,RB,DET,,,
L02,Alec Pierce,WR,IND,,,
L02,Josh Downs,WR,IND,,,
L02,Ladd McConkey,WR,LAC,,,
L02,Colston Loveland,TE,CHI,,,
L02,D'Andre Swift,RB,CHI,,,
L02,Philadelphia Eagles,DEF,PHI,,,
L03,Joe Burrow,QB,CIN,,,
L03,Bijan Robinson,RB,ATL,,,
L03,Brian Robinson Jr.,RB,ATL,,,
L03,Chris Olave,WR,NO,,,
L03,Malik Washington,WR,MIA,,,
L03,Tetairoa McMillan,WR,CAR,,,
L03,Dalton Kincaid,TE,BUF,,,
L03,Jonathan Taylor,RB,IND,,,
L03,Arizona Cardinals,DEF,ARI,,,
L04,Josh Allen,QB,BUF,,,
L04,D'Andre Swift,RB,CHI,,,
L04,James Cook,RB,BUF,,,
L04,Amon-Ra St. Brown,WR,DET,,,
L04,Khalil Shakir,WR,BUF,,,
L04,Xavier Hutchinson,WR,HOU,,,
L04,Dalton Kincaid,TE,BUF,,,
L04,Jo'quavious Marks,RB,HOU,,,
L04,Philadelphia Eagles,DEF,PHI,,,
L05,Josh Allen,QB,BUF,,,
L05,D'Andre Swift,RB,CHI,,,
L05,James Cook,RB,BUF,,,
L05,Ja'Marr Chase,WR,CIN,,,
L05,Khalil Shakir,WR,BUF,,,
L05,Xavier Hutchinson,WR,HOU,,,
L05,Dalton Kincaid,TE,BUF,,,
L05,Jo'quavious Marks,RB,HOU,,,
L05,Pittsburgh Steelers,DEF,PIT,,,
L06,Daniel Jones,QB,IND,,,
L06,Ashton Jeanty,RB,OAK,,,
L06,Bijan Robinson,RB,ATL,,,
L06,Alec Pierce,WR,IND,,,
L06,Amon-Ra St. Brown,WR,DET,,,
L06,Josh Downs,WR,IND,,,
L06,Dawson Knox,TE,BUF,,,
L06,Jonathan Taylor,RB,IND,,,
L06,Tennessee Titans,DEF,TEN,,,
L07,Joe Burrow,QB,CIN,,,
L07,Ashton Jeanty,RB,OAK,,,
L07,Devon Achane,RB,MIA,,,
L07,Andrei Iosivas,WR,CIN,,,
L07,Chris Olave,WR,NO,,,
L07,Tee Higgins,WR,CIN,,,
L07,Dawson Knox,TE,BUF,,,
L07,Jonathan Taylor,RB,IND,,,
L07,New York Jets,DEF,NYJ,,,
L08,Justin Herbert,QB,LAC,,,
L08,MarShawn Lloyd,RB,GB,,,
L08,Omarion Hampton,RB,LAC,,,
L08,Devaughn Vele,WR,NO,,,
L08,Ladd McConkey,WR,LAC,,,
L08,Ja'Marr Chase,WR,CIN,,,
L08,Tyler Warren,TE,IND,,,
L08,Jahmyr Gibbs,RB,DET,,,
L08,Jacksonville Jaguars,DEF,JAC,,,
L09,Daniel Jones,QB,IND,,,
L09,Devon Achane,RB,MIA,,,
L09,Jahmyr Gibbs,RB,DET,,,
L09,Alec Pierce,WR,IND,,,
L09,Josh Downs,WR,IND,,,
L09,Ladd McConkey,WR,LAC,,,
L09,Dawson Knox,TE,BUF,,,
L09,Jonathan Taylor,RB,IND,,,
L09,New York Jets,DEF,NYJ,,,
L10,Jacoby Brissett,QB,ARI,,,
L10,Brian Robinson Jr.,RB,ATL,,,
L10,Chase Brown,RB,CIN,,,
L10,Chris Olave,WR,NO,,,
L10,Michael Wilson,WR,ARI,,,
L10,Tetairoa McMillan,WR,CAR,,,
L10,Trey McBride,TE,ARI,,,
L10,Devon Achane,RB,MIA,,,
L10,New York Jets,DEF,NYJ,,,
L11,Joe Burrow,QB,CIN,,,
L11,D'Andre Swift,RB,CHI,,,
L11,James Cook,RB,BUF,,,
L11,Amon-Ra St. Brown,WR,DET,,,
L11,Tetairoa McMillan,WR,CAR,,,
L11,Xavier Hutchinson,WR,HOU,,,
L11,Colston Loveland,TE,CHI,,,
L11,Jo'quavious Marks,RB,HOU,,,
L11,Jacksonville Jaguars,DEF,JAC,,,
L12,Baker Mayfield,QB,TB,,,
L12,Travis Etienne,RB,NO,,,
L12,MarShawn Lloyd,RB,GB,,,
L12,Emeka Egbuka,WR,TB,,,
L12,Tetairoa McMillan,WR,CAR,,,
L12,Tee Higgins,WR,CIN,,,
L12,Tucker Kraft,TE,GB,,,
L12,Jahmyr Gibbs,RB,DET,,,
L12,Pittsburgh Steelers,DEF,PIT,,,
L13,Joe Burrow,QB,CIN,,,
L13,Derrick Henry,RB,BAL,,,
L13,Kyle Monangai,RB,CHI,,,
L13,Ja'Marr Chase,WR,CIN,,,
L13,Luther Burden III,WR,CHI,,,
L13,Tee Higgins,WR,CIN,,,
L13,Colston Loveland,TE,CHI,,,
L13,Jo'quavious Marks,RB,HOU,,,
L13,Tennessee Titans,DEF,TEN,,,
L14,Joe Burrow,QB,CIN,,,
L14,Brian Robinson Jr.,RB,ATL,,,
L14,Jahmyr Gibbs,RB,DET,,,
L14,Ja'Marr Chase,WR,CIN,,,
L14,Luther Burden III,WR,CHI,,,
L14,Tee Higgins,WR,CIN,,,
L14,Colston Loveland,TE,CHI,,,
L14,Kyle Monangai,RB,CHI,,,
L14,Tennessee Titans,DEF,TEN,,,
