name,team,status,exclude,lock,note
A.J. Brown,NE,IR,1,,
Tyler Smith,DAL,IR,1,,
Isiah Pacheco,DET,IR,1,,
Audric Estime,NO,IR,1,,
Jayden Higgins,HOU,IR,1,,
Alfred Collins,SF,IR,1,,
Cameron Williams,ATL,IR,1,,
Michael Penix Jr.,ATL,OUT,1,,Rush starts
Cameron Jordan,NO,OUT,1,,
Ja'Kobi Lane,BAL,IR,1,,
Da'Shawn Hand,ATL,OUT,1,,
Sam Darnold,SEA,OUT,1,,Lock starts
Nico Collins,HOU,OUT,1,,HOU fade
Kyler Murray,MIN,OUT,1,,Wentz starts
Minkah Fitzpatrick,NYJ,OUT,1,,treat out
Omar Cooper Jr.,NYJ,OUT,1,,treat out
Brock Bowers,LV,D,1,,treat out
Zay Flowers,BAL,D,1,,treat out
