name,pos,team,adp,notes
Jahmyr Gibbs,RB,DET,1.5,fp_rank=1;bye=6
Bijan Robinson,RB,ATL,1.5,fp_rank=2;bye=11
Ja'Marr Chase,WR,CIN,3.0,fp_rank=3;bye=6
Puka Nacua,WR,LAR,4.0,fp_rank=4;bye=11
Jaxon Smith-Njigba,WR,SEA,5.0,fp_rank=5;bye=11
Christian McCaffrey,RB,SF,6.0,fp_rank=6;bye=8
Amon-Ra St. Brown,WR,DET,7.0,fp_rank=7;bye=6
Jonathan Taylor,RB,IND,8.5,fp_rank=8;bye=13
Ashton Jeanty,RB,LV,9.5,fp_rank=9;bye=13
Justin Jefferson,WR,MIN,10.0,fp_rank=10;bye=6
CeeDee Lamb,WR,DAL,10.5,fp_rank=11;bye=14
James Cook III,RB,BUF,11.5,fp_rank=12;bye=7
Saquon Barkley,RB,PHI,14.5,fp_rank=13;bye=10
Chase Brown,RB,CIN,14.5,fp_rank=14;bye=6
De'Von Achane,RB,MIA,15.5,fp_rank=15;bye=6
Omarion Hampton,RB,LAC,15.5,fp_rank=16;bye=7
Kenneth Walker III,RB,KC,16.5,fp_rank=17;bye=5
Drake London,WR,ATL,16.5,fp_rank=18;bye=11
Brock Bowers,TE,LV,19.5,fp_rank=19;bye=13
Derrick Henry,RB,BAL,21.0,fp_rank=20;bye=13
A.J. Brown,WR,NE,22.0,fp_rank=21;bye=11
Trey McBride,TE,ARI,22.0,fp_rank=22;bye=14
Nico Collins,WR,HOU,22.5,fp_rank=23;bye=8
George Pickens,WR,DAL,23.5,fp_rank=24;bye=14
Jeremiyah Love,RB,ARI,24.0,fp_rank=25;bye=14
Josh Allen,QB,BUF,28.0,fp_rank=26;bye=7
Chris Olave,WR,NO,28.0,fp_rank=27;bye=8
Rashee Rice,WR,KC,28.0,fp_rank=28;bye=5
Breece Hall,RB,NYJ,28.0,fp_rank=29;bye=13
DeVonta Smith,WR,PHI,30.0,fp_rank=30;bye=10
Kyren Williams,RB,LAR,31.5,fp_rank=31;bye=11
Travis Etienne Jr.,RB,NO,34.0,fp_rank=32;bye=8
Zay Flowers,WR,BAL,34.5,fp_rank=33;bye=13
Malik Nabers,WR,NYG,35.0,fp_rank=34;bye=8
Javonte Williams,RB,DAL,35.0,fp_rank=35;bye=14
Ladd McConkey,WR,LAC,36.0,fp_rank=36;bye=7
Tee Higgins,WR,CIN,36.0,fp_rank=37;bye=6
Garrett Wilson,WR,NYJ,37.0,fp_rank=38;bye=13
Tetairoa McMillan,WR,CAR,38.5,fp_rank=39;bye=5
Emeka Egbuka,WR,TB,39.0,fp_rank=40;bye=10
Josh Jacobs,RB,GB,40.0,fp_rank=41;bye=11
Colston Loveland,TE,CHI,41.5,fp_rank=42;bye=10
Luther Burden III,WR,CHI,41.5,fp_rank=43;bye=10
Terry McLaurin,WR,WAS,44.0,fp_rank=44;bye=7
Cam Skattebo,RB,NYG,44.5,fp_rank=45;bye=8
Jaylen Waddle,WR,DEN,47.0,fp_rank=46;bye=10
David Montgomery,RB,HOU,50.0,fp_rank=47;bye=8
Lamar Jackson,QB,BAL,51.0,fp_rank=48;bye=13
TreVeyon Henderson,RB,NE,51.5,fp_rank=49;bye=11
D'Andre Swift,RB,CHI,51.5,fp_rank=50;bye=10
Davante Adams,WR,LAR,51.5,fp_rank=51;bye=11
Jameson Williams,WR,DET,51.5,fp_rank=52;bye=6
DJ Moore,WR,BUF,53.0,fp_rank=53;bye=7
Quinshon Judkins,RB,CLE,54.0,fp_rank=54;bye=11
Mike Evans,WR,SF,55.0,fp_rank=55;bye=8
Bhayshul Tuten,RB,JAC,56.0,fp_rank=56;bye=7
Christian Watson,WR,GB,56.0,fp_rank=57;bye=11
Bucky Irving,RB,TB,56.5,fp_rank=58;bye=10
Joe Burrow,QB,CIN,57.5,fp_rank=59;bye=6
Rome Odunze,WR,CHI,58.0,fp_rank=60;bye=10
Carnell Tate,WR,TEN,61.0,fp_rank=61;bye=9
Drake Maye,QB,NE,61.5,fp_rank=62;bye=11
Tyler Warren,TE,IND,63.5,fp_rank=63;bye=13
Jadarian Price,RB,SEA,63.5,fp_rank=64;bye=11
Jayden Daniels,QB,WAS,65.0,fp_rank=65;bye=7
Marvin Harrison Jr.,WR,ARI,67.5,fp_rank=66;bye=14
Brian Thomas Jr.,WR,JAC,68.0,fp_rank=67;bye=7
Parker Washington,WR,JAC,69.0,fp_rank=68;bye=7
Caleb Williams,QB,CHI,69.0,fp_rank=69;bye=10
Jaylen Warren,RB,PIT,69.0,fp_rank=70;bye=9
DK Metcalf,WR,PIT,71.5,fp_rank=71;bye=9
Jalen Hurts,QB,PHI,72.5,fp_rank=72;bye=10
Jordyn Tyson,WR,NO,73.0,fp_rank=73;bye=8
Chuba Hubbard,RB,CAR,73.5,fp_rank=74;bye=5
Justin Herbert,QB,LAC,77.0,fp_rank=75;bye=7
Courtland Sutton,WR,DEN,78.0,fp_rank=76;bye=10
Rhamondre Stevenson,RB,NE,78.0,fp_rank=77;bye=11
Alec Pierce,WR,IND,78.5,fp_rank=78;bye=13
Tony Pollard,RB,TEN,78.5,fp_rank=79;bye=9
Dak Prescott,QB,DAL,79.0,fp_rank=80;bye=14
Trevor Lawrence,QB,JAC,81.0,fp_rank=81;bye=7
RJ Harvey,RB,DEN,81.5,fp_rank=82;bye=10
Tucker Kraft,TE,GB,84.5,fp_rank=83;bye=11
Makai Lemon,WR,PHI,86.0,fp_rank=84;bye=10
Kenneth Gainwell,RB,TB,87.5,fp_rank=85;bye=10
Quentin Johnston,WR,LAC,89.0,fp_rank=86;bye=7
Rico Dowdle,RB,PIT,90.0,fp_rank=87;bye=9
Jaxson Dart,QB,NYG,91.5,fp_rank=88;bye=8
Matthew Stafford,QB,LAR,91.5,fp_rank=89;bye=11
Michael Pittman Jr.,WR,PIT,91.5,fp_rank=90;bye=9
Michael Wilson,WR,ARI,92.0,fp_rank=91;bye=14
Patrick Mahomes II,QB,KC,92.5,fp_rank=92;bye=5
Kyle Pitts Sr.,TE,ATL,93.0,fp_rank=93;bye=11
Chris Godwin Jr.,WR,TB,93.0,fp_rank=94;bye=10
Jayden Reed,WR,GB,93.5,fp_rank=95;bye=11
Brock Purdy,QB,SF,95.0,fp_rank=96;bye=8
Harold Fannin Jr.,TE,CLE,95.5,fp_rank=97;bye=11
Sam LaPorta,TE,DET,96.0,fp_rank=98;bye=6
Kyle Monangai,RB,CHI,98.0,fp_rank=99;bye=10
Blake Corum,RB,LAR,98.0,fp_rank=100;bye=11
Jordan Addison,WR,MIN,99.5,fp_rank=101;bye=6
Ricky Pearsall,WR,SF,100.0,fp_rank=102;bye=8
Josh Downs,WR,IND,102.0,fp_rank=103;bye=13
Jakobi Meyers,WR,JAC,102.0,fp_rank=104;bye=7
Jared Goff,QB,DET,102.0,fp_rank=105;bye=6
Jonathon Brooks,RB,CAR,105.5,fp_rank=106;bye=5
Bo Nix,QB,DEN,105.5,fp_rank=107;bye=10
Xavier Worthy,WR,KC,107.5,fp_rank=108;bye=5
J.K. Dobbins,RB,DEN,108.5,fp_rank=109;bye=10
Wan'Dale Robinson,WR,TEN,109.5,fp_rank=110;bye=9
Rachaad White,RB,WAS,109.5,fp_rank=111;bye=7
Kyler Murray,QB,MIN,110.0,fp_rank=112;bye=6
Jordan Love,QB,GB,112.0,fp_rank=113;bye=11
Tyler Shough,QB,NO,114.5,fp_rank=114;bye=8
Baker Mayfield,QB,TB,115.0,fp_rank=115;bye=10
Matthew Golden,WR,GB,117.5,fp_rank=116;bye=11
Romeo Doubs,WR,NE,118.0,fp_rank=117;bye=11
Dalton Kincaid,TE,BUF,118.5,fp_rank=118;bye=7
Travis Kelce,TE,KC,118.5,fp_rank=119;bye=5
Jordan Mason,RB,MIN,121.5,fp_rank=120;bye=6
George Kittle,TE,SF,121.5,fp_rank=121;bye=8
Aaron Jones Sr.,RB,MIN,122.0,fp_rank=122;bye=6
Jayden Higgins,WR,HOU,124.0,fp_rank=123;bye=8
KC Concepcion,WR,CLE,124.0,fp_rank=124;bye=11
Khalil Shakir,WR,BUF,125.0,fp_rank=125;bye=7
Isaiah Likely,TE,NYG,125.0,fp_rank=126;bye=8
